0.42,E,VS2,Ideal,$502.00 
0.39,D,VVS2,Excellent,$502.00 
0.39,E,VVS1,Excellent,$502.00 
0.72,J,SI1,Ideal,$503.00 
0.48,I,VVS1,Ideal,$504.00 
0.4,G,VVS1,Excellent,$504.00 
0.42,G,VVS2,Ideal,$508.00 
0.47,H,VS2,Excellent,$510.00 
0.54,J,VS1,Ideal,$513.00 
0.4,F,VVS2,Ideal,$513.00 
0.5,E,SI2,Excellent,$514.00 
0.55,K,VVS2,Ideal,$516.00 
0.55,K,VVS2,Ideal,$516.00 
0.43,G,VVS2,Excellent,$520.00 
0.44,E,VS1,Ideal,$520.00 
0.4,D,VS2,Excellent,$521.00 
0.41,F,VS1,Excellent,$521.00 
0.48,D,SI2,Excellent,$522.00 
0.7,J,VS2,Excellent,$522.00 
0.7,J,VS2,Ideal,$522.00 
0.45,G,VS2,Ideal,$524.00 
0.51,E,SI2,Ideal,$525.00 
0.45,D,SI1,Ideal,$525.00 
0.56,K,VVS2,Ideal,$526.00 
0.56,K,VVS2,Ideal,$526.00 
0.71,J,VS2,Excellent,$530.00 
0.71,J,VS2,Ideal,$530.00 
0.71,J,VS2,Excellent,$530.00 
0.4,D,VS1,Ideal,$531.00 
0.4,D,VS1,Ideal,$531.00 
0.43,D,VS2,Ideal,$532.00 
0.44,G,VVS2,Excellent,$532.00 
0.5,D,SI2,Excellent,$534.00 
0.5,D,SI2,Ideal,$534.00 
0.55,J,VS2,Ideal,$537.00 
0.45,G,VS1,Excellent,$538.00 
0.46,H,VVS2,Excellent,$539.00 
0.42,E,VS1,Ideal,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.7,J,VS1,Excellent,$539.00 
0.7,J,VS1,Excellent,$539.00 
0.7,J,VS1,Excellent,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.7,J,VS1,Excellent,$539.00 
0.7,J,VS1,Ideal,$539.00 
0.51,J,VVS2,Excellent,$540.00 
0.51,J,VVS2,Excellent,$540.00 
0.51,J,VVS2,Excellent,$540.00 
0.43,G,VVS1,Ideal,$542.00 
0.52,J,VVS2,Excellent,$543.00 
0.58,K,VVS2,Ideal,$544.00 
0.58,K,VVS2,Ideal,$544.00 
0.58,K,VVS2,Ideal,$544.00 
0.41,D,VS1,Ideal,$544.00 
0.51,D,SI2,Ideal,$545.00 
0.51,D,SI2,Excellent,$545.00 
0.43,F,VS1,Ideal,$546.00 
0.43,F,VS1,Excellent,$546.00 
0.71,J,VS1,Excellent,$547.00 
0.71,J,VS1,Excellent,$547.00 
0.71,J,VS1,Excellent,$547.00 
0.46,G,VS1,Ideal,$550.00 
0.48,H,VS1,Ideal,$550.00 
0.39,D,VVS1,Ideal,$551.00 
0.52,J,VVS2,Ideal,$551.00 
0.56,K,VVS1,Ideal,$553.00 
0.72,J,VS1,Ideal,$555.00 
0.52,D,SI2,Ideal,$556.00 
0.7,J,VVS2,Excellent,$556.00 
0.7,J,VVS2,Excellent,$556.00 
0.7,J,VVS2,Excellent,$556.00 
0.7,J,VVS2,Excellent,$556.00 
0.7,J,VVS2,Excellent,$556.00 
0.7,J,VVS2,Ideal,$556.00 
0.45,G,VVS2,Excellent,$557.00 
0.5,E,SI1,Very Good,$557.00 
0.41,E,VVS2,Excellent,$561.00 
0.73,J,VS1,Ideal,$562.00 
0.73,J,VS1,Ideal,$562.00 
0.73,J,VS1,Ideal,$562.00 
0.73,J,VS1,Excellent,$562.00 
0.71,J,VVS2,Ideal,$564.00 
0.71,J,VVS2,Excellent,$564.00 
0.71,J,VVS2,Ideal,$564.00 
0.41,E,VVS2,Ideal,$568.00 
0.43,D,VS1,Ideal,$570.00 
0.4,F,VVS1,Excellent,$570.00 
0.74,J,VS1,Ideal,$570.00 
0.74,J,VS1,Ideal,$570.00 
0.46,H,VVS1,Excellent,$571.00 
0.72,J,VVS2,Ideal,$572.00 
0.48,G,VS1,Ideal,$574.00 
0.54,D,SI2,Ideal,$577.00 
0.54,D,SI2,Ideal,$577.00 
0.4,F,VVS1,Ideal,$577.00 
0.56,I,SI1,Ideal,$578.00 
0.53,J,VVS1,Excellent,$579.00 
0.42,E,VVS2,Ideal,$582.00 
0.47,H,VVS1,Ideal,$583.00 
0.53,J,VVS1,Ideal,$587.00 
0.46,G,VVS1,Ideal,$588.00 
0.45,E,VS1,Excellent,$591.00 
0.46,E,VS2,Excellent,$593.00 
0.54,F,SI2,Ideal,$594.00 
0.54,J,VVS1,Ideal,$598.00 
0.55,E,SI2,Ideal,$599.00 
0.47,G,VVS1,Ideal,$600.00 
0.45,F,VVS2,Ideal,$607.00 
0.79,J,VS1,Excellent,$608.00 
0.8,J,VS1,Excellent,$616.00 
0.8,J,VS1,Excellent,$616.00 
0.48,E,VS2,Excellent,$618.00 
0.6,J,SI1,Ideal,$622.00 
0.7,I,VS2,Excellent,$623.00 
0.81,J,VS1,Ideal,$624.00 
0.46,D,VS1,Ideal,$626.00 
0.48,E,VS1,Excellent,$630.00 
0.45,E,VVS2,Excellent,$631.00 
0.43,E,VVS1,Excellent,$631.00 
0.82,J,VS1,Excellent,$632.00 
0.82,J,VS1,Ideal,$632.00 
0.45,D,VVS2,Excellent,$637.00 
0.45,D,VVS2,Ideal,$637.00 
0.7,I,VS1,Excellent,$640.00 
0.7,I,VS1,Very Good,$640.00 
0.72,I,VS2,Ideal,$641.00 
0.57,I,VS1,Excellent,$644.00 
0.44,E,VVS1,Excellent,$645.00 
0.46,E,VVS2,Excellent,$646.00 
0.84,J,VS1,Excellent,$647.00 
0.71,I,VS1,Ideal,$649.00 
0.42,D,VVS1,Excellent,$650.00 
0.82,J,VVS2,Ideal,$651.00 
0.5,E,VS2,Very Good,$652.00 
0.52,D,SI2,Excellent,$654.00 
0.7,I,VVS2,Ideal,$657.00 
0.5,E,SI1,Ideal,$672.00 
0.62,K,VVS2,Ideal,$674.00 
0.61,F,SI2,Ideal,$674.00 
0.64,H,SI2,Excellent,$677.00 
0.5,G,VS2,Very Good,$678.00 
0.9,J,SI1,Very Good,$679.00 
0.44,D,VVS1,Ideal,$681.00 
0.62,F,SI2,Ideal,$685.00 
0.5,E,VS2,Very Good,$687.00 
0.5,D,SI1,Excellent,$692.00 
0.5,D,SI1,Ideal,$692.00 
0.5,D,SI1,Excellent,$692.00 
0.51,H,VVS2,Excellent,$692.00 
0.66,J,SI2,Excellent,$693.00 
0.7,K,VS1,Very Good,$693.00 
0.71,F,SI1,Excellent,$696.00 
0.88,G,SI2,Ideal,$699.00 
0.51,D,SI1,Excellent,$706.00 
0.7,H,VS2,Excellent,$708.00 
0.7,H,VS2,Excellent,$708.00 
0.53,H,VS2,Excellent,$712.00 
0.5,G,VS2,Excellent,$713.00 
0.6,I,SI1,Ideal,$716.00 
0.5,D,SI1,Excellent,$719.00 
0.52,D,SI1,Ideal,$720.00 
0.76,K,SI2,Excellent,$724.00 
0.6,E,SI2,Excellent,$726.00 
0.65,G,SI2,Ideal,$726.00 
0.71,F,SI1,Ideal,$735.00 
0.9,J,VS2,Ideal,$735.00 
0.55,E,SI1,Excellent,$739.00 
0.52,H,VVS2,Ideal,$739.00 
0.71,K,VS1,Ideal,$740.00 
0.73,K,SI1,Ideal,$742.00 
0.74,K,VS2,Ideal,$746.00 
0.74,K,VS2,Excellent,$746.00 
0.71,H,VS1,Excellent,$752.00 
0.64,I,SI2,Excellent,$754.00 
0.71,H,VS1,Ideal,$755.00 
0.53,E,VS1,Very Good,$756.00 
0.73,K,VS1,Ideal,$761.00 
0.73,K,VS1,Ideal,$761.00 
0.72,H,VS1,Ideal,$766.00 
0.92,K,VS2,Very Good,$767.00 
0.56,G,SI1,Ideal,$768.00 
0.9,J,VS1,Excellent,$769.00 
0.9,J,VS1,Ideal,$769.00 
0.74,K,VS1,Ideal,$771.00 
0.74,K,VS1,Ideal,$771.00 
0.75,K,SI1,Ideal,$771.00 
0.9,K,VS2,Very Good,$774.00 
0.61,I,VS2,Ideal,$775.00 
0.7,H,VVS2,Ideal,$775.00 
0.7,H,VVS2,Ideal,$775.00 
0.7,G,VS2,Very Good,$775.00 
0.7,H,VVS2,Ideal,$775.00 
0.7,H,VVS2,Ideal,$775.00 
0.7,H,VVS2,Ideal,$775.00 
0.7,H,VVS2,Ideal,$776.00 
0.91,J,VS1,Ideal,$778.00 
0.63,J,VVS2,Ideal,$779.00 
0.52,E,VS1,Ideal,$780.00 
0.5,D,VS2,Very Good,$782.00 
0.76,K,SI1,Ideal,$782.00 
0.91,K,VS1,Good,$784.00 
0.71,H,VVS2,Excellent,$786.00 
0.71,H,VVS2,Ideal,$786.00 
0.65,E,SI2,Ideal,$787.00 
0.5,G,VVS1,Ideal,$787.00 
0.92,K,VS2,Very Good,$791.00 
0.64,J,VVS2,Ideal,$791.00 
0.78,J,VS1,Ideal,$793.00 
0.5,D,VS2,Excellent,$794.00 
0.5,D,VS2,Excellent,$794.00 
0.53,E,VS1,Very Good,$795.00 
0.6,F,VS2,Excellent,$796.00 
0.61,E,SI1,Ideal,$796.00 
0.7,J,SI1,Ideal,$796.00 
0.7,J,SI1,Excellent,$796.00 
0.91,K,SI2,Ideal,$796.00 
0.91,K,SI2,Ideal,$796.00 
0.91,K,SI2,Ideal,$796.00 
0.72,H,VVS2,Ideal,$797.00 
0.72,G,VS2,Ideal,$797.00 
0.72,G,VS2,Ideal,$797.00 
0.57,H,VVS2,Excellent,$798.00 
0.9,K,SI1,Ideal,$798.00 
0.52,G,VVS2,Excellent,$799.00 
0.52,G,VVS2,Excellent,$799.00 
0.52,G,VVS2,Ideal,$799.00 
0.52,G,VVS2,Excellent,$799.00 
0.51,G,VVS1,Ideal,$803.00 
0.92,K,SI1,Excellent,$804.00 
0.65,J,VVS2,Ideal,$804.00 
0.9,J,VVS2,Very Good,$804.00 
0.9,G,SI2,Very Good,$804.00 
0.9,J,VVS2,Ideal,$804.00 
0.92,K,SI2,Ideal,$805.00 
0.62,G,SI1,Very Good,$805.00 
0.91,K,SI1,Ideal,$806.00 
0.91,K,SI1,Ideal,$806.00 
0.71,J,SI1,Ideal,$807.00 
0.71,J,SI1,Excellent,$807.00 
0.91,K,VS1,Very Good,$809.00 
0.7,J,VS2,Excellent,$810.00 
0.7,J,VS2,Ideal,$810.00 
0.7,J,VS2,Ideal,$810.00 
0.53,G,VVS2,Ideal,$814.00 
